Datetime,Open,Max,Min,Close,Volume,PEAKS,EMA_17,EMA_72,UDT_COEF,UDT_STATUS
2020-07-31 11:00:00,100.2500,100.3100,99.7700,100.0200,1522610,0,100.7333,99.8581,0.0116,1
2020-07-31 12:00:00,100.0000,100.1700,99.4900,99.5900,965250,0,100.6063,99.8508,0.0086,0
2020-07-31 13:00:00,99.6000,99.7100,99.1000,99.1900,1272580,0,100.4489,99.8327,0.0058,0
2020-07-31 14:00:00,99.2100,99.5000,99.1100,99.1500,640500,0,100.3046,99.8140,0.0055,0
2020-07-31 15:00:00,99.1200,99.3700,98.8000,99.3200,2553160,0,100.1952,99.8004,0.0067,0
2020-07-31 16:00:00,99.3300,99.4000,98.9000,99.3000,1593980,0,100.0957,99.7867,0.0065,0
2020-07-31 17:00:00,99.2900,99.2900,99.2900,99.2900,1208690,0,100.0062,99.7731,0.0065,0
2020-08-03 10:00:00,99.9600,99.9600,98.5100,98.5200,1083820,0,99.8411,99.7388,0.0010,0
2020-08-03 11:00:00,98.5000,99.7200,98.5000,99.1100,1678860,0,99.7598,99.7215,0.0052,0
2020-08-03 12:00:00,99.0700,99.4500,98.7900,99.1400,458020,0,99.6910,99.7056,0.0054,0
2020-08-03 13:00:00,99.1200,100.0400,99.0500,99.7700,511480,0,99.6998,99.7074,0.0099,0
2020-08-03 14:00:00,99.7600,99.9600,99.5200,99.7400,640490,0,99.7042,99.7083,0.0096,0
2020-08-03 15:00:00,99.7100,99.9700,99.5900,99.6000,969470,0,99.6926,99.7053,0.0087,0
2020-08-03 16:00:00,99.5900,99.6900,98.6700,99.2700,1462720,0,99.6457,99.6934,0.0063,0
2020-08-03 17:00:00,99.2000,99.2000,99.2000,99.2000,1288770,0,99.5962,99.6799,0.0058,0
2020-08-04 10:00:00,97.9100,98.8800,97.7200,98.8800,1825270,0,99.5166,99.6579,0.0036,0
2020-08-04 11:00:00,98.9100,98.9700,98.3100,98.3600,755970,0,99.3881,99.6224,-0.0001,0
2020-08-04 12:00:00,98.3300,98.4900,96.4200,96.5600,1889370,0,99.0738,99.5385,-0.0129,-1
2020-08-04 13:00:00,96.5500,97.4500,96.2500,97.3900,1241330,-1,98.8868,99.4796,-0.0691,-1
2020-08-04 14:00:00,97.4000,97.4200,96.9900,97.1000,941140,0,98.6882,99.4144,-0.0719,-1
2020-08-04 15:00:00,97.1100,97.5200,96.6300,97.4000,1400890,0,98.5451,99.3592,-0.0690,-1
2020-08-04 16:00:00,97.3900,97.7000,97.0000,97.7000,1665400,0,98.4512,99.3138,-0.0661,-1
2020-08-04 17:00:00,97.6000,97.6000,97.6000,97.6000,455870,0,98.3566,99.2668,-0.0671,-1
2020-08-05 10:00:00,99.0300,99.7600,99.0300,99.5100,1907660,0,98.4848,99.2735,-0.0483,-1
2020-08-05 11:00:00,99.5000,99.9000,99.2600,99.6700,1226860,0,98.6165,99.2844,-0.0468,-1
2020-08-05 12:00:00,99.6400,99.7000,98.4700,98.6700,1250850,0,98.6224,99.2675,-0.0566,-1
2020-08-05 13:00:00,98.6600,99.0300,98.6400,98.7800,625720,0,98.6399,99.2542,-0.0555,-1
2020-08-05 14:00:00,98.7700,98.8000,98.1100,98.5900,940590,0,98.6344,99.2360,-0.0574,-1
2020-08-05 15:00:00,98.5700,99.2000,98.5700,99.0300,886540,0,98.6783,99.2303,-0.0530,-1
2020-08-05 16:00:00,99.0400,99.3100,98.6900,99.0000,1183030,0,98.7141,99.2240,-0.0533,-1
2020-08-05 17:00:00,98.9900,98.9900,98.9900,98.9900,123540,0,98.7447,99.2176,-0.0534,-1
2020-08-06 10:00:00,99.1800,99.6000,98.9600,99.3200,778950,0,98.8086,99.2204,-0.0502,-1
2020-08-06 11:00:00,99.3300,100.3400,99.1400,99.8900,1096020,0,98.9288,99.2388,-0.0446,-1
2020-08-06 12:00:00,99.9000,100.5900,99.7400,100.5200,619360,0,99.1056,99.2739,-0.0384,-1
2020-08-06 13:00:00,100.5100,100.7000,100.2600,100.4700,888620,1,99.2572,99.3066,0.0205,1
2020-08-06 14:00:00,100.4800,100.5600,99.7900,99.8400,960050,0,99.3220,99.3212,0.0159,1
2020-08-06 15:00:00,99.8100,100.2200,99.7200,100.2000,1121150,0,99.4195,99.3453,0.0185,1
2020-08-06 16:00:00,100.2000,100.2100,99.8300,100.1100,1383530,0,99.4962,99.3663,0.0178,1
2020-08-06 17:00:00,100.1700,100.1700,100.1700,100.1700,378270,0,99.5711,99.3883,0.0183,1
2020-08-07 10:00:00,98.9000,99.6500,98.8500,99.2900,1222050,0,99.5399,99.3856,0.0118,1
2020-08-07 11:00:00,99.3000,99.5100,98.8500,99.1500,811720,0,99.4965,99.3791,0.0108,1
2020-08-07 12:00:00,99.1600,99.3900,99.0000,99.0200,580130,0,99.4436,99.3693,0.0098,0
2020-08-07 13:00:00,99.0100,99.2500,98.8500,99.0600,474270,0,99.4010,99.3608,0.0101,1
2020-08-07 14:00:00,99.0600,100.3900,98.5300,99.3700,1974170,0,99.3975,99.3611,0.0124,1
2020-08-07 15:00:00,99.4000,99.4300,98.1100,98.6000,1656710,0,99.3089,99.3402,0.0068,0
